"Q1 - Nota";"Q2 - Nota";"Codigo Situacao final bimestre";"Q1 - Tempo envio";"Q2 - Tempo envio";"S1 - Tempo ultimo acesso";"S2 - Tempo ultimo acesso";"Ano de Ingresso";"Idade";"curso_integrado_MSI";"curso_integrado_MUSICA";"curso_integrado_TED";"sexo_F";"sexo_M";"cor_raca_Amarela";"cor_raca_Branca";"cor_raca_Nao declarada";"cor_raca_Parda";"cor_raca_Preta";"tipo_escola_origem_Privada";"tipo_escola_origem_Publica";"zona_residencial_Rural";"zona_residencial_Urbana";"cota_SISTEC_Cor/Raca";"cota_SISTEC_Escola Publica";"cota_SISTEC_Nao se aplica";"cota_SISTEC_Necessidades Especiais";"cota_MEC_Nao se aplica";"cota_MEC_publica";"cota_MEC_publica_PPI";"cota_MEC_publica_renda_menor_1,5SM";"cota_MEC_publica_renda_menor_1,5SM_PCD";"cota_MEC_publica_renda_menor_1,5SM_PPI";"cota_MEC_publica_renda_menor_1,5SM_PPI_PCD";"Escola de Origem"
55;"56.6666666666667";0;"36.0";"24.0";"4.0";"99.0";2020;16;0;0;1;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;45
60;"90.0";1;"5.0";"6.0";"3.0";"5.0";2020;15;0;0;1;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;26
100;"100.0";1;"36.0";"24.0";"3.0";"4.0";2020;15;0;0;1;1;0;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;5
100;"100.0";1;"35.0";"5.0";"3.0";"4.0";2020;16;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;1
50;"93.3333333333333";1;"5.0";"0.0";"5.0";"5.0";2020;16;0;0;1;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;63
95;"100.0";1;"37.0";"24.0";"3.0";"5.0";2020;15;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;43
35;"100.0";1;"7.0";"1.0";"5.0";"3.0";2020;15;0;0;1;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;26
45;"93.33";0;"112.0";"100.0";"5.0";"5.0";2020;16;0;0;1;1;0;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;40
50;"90.0";1;"5.0";"6.0";"5.0";"4.0";2020;14;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;28
50;"93.33";1;"8.0";"1.0";"4.0";"4.0";2020;15;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;2
45;"56.6666666666667";0;"9.0";"0.0";"5.0";"3.0";2020;15;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;28
55;"86.6666666666667";1;"5.0";"1.0";"6.0";"5.0";2020;15;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;2
85;"100.0";1;"35.0";"23.0";"2.0";"3.0";2020;15;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;26
80;"86.6666666666667";1;"9.0";"6.0";"5.0";"5.0";2020;15;0;0;1;0;1;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;2
35;"86.66";0;"5.0";"6.0";"5.0";"5.0";2020;15;0;0;1;1;0;"0.0";0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;27
95;"100.0";1;"36.0";"24.0";"5.0";"6.0";2020;15;0;0;1;0;1;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;35
40;"96.66";1;"5.0";"2.0";"5.0";"5.0";2020;16;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;27
35;"50.0";0;"6.0";"0.0";"5.0";"3.0";2020;16;0;0;1;0;1;"0.0";0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;37
80;"100.0";1;"36.0";"23.0";"5.0";"4.0";2020;15;0;0;1;0;1;"0.0";0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;30
35;"50.0";0;"39.0";"17.0";"99.0";"99.0";2020;15;0;0;1;0;1;"0.0";0;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;16
40;"90.0";1;"7.0";"2.0";"5.0";"3.0";2020;15;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;14
0;"0.0";0;"99.0";"99.0";"99.0";"99.0";2020;26;0;0;1;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;12
40;"40.0";1;"5.0";"1.0";"4.0";"4.0";2020;15;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;31
50;"93.3333333333333";1;"36.0";"5.0";"3.0";"6.0";2020;15;0;0;1;1;0;"0.0";1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;61
95;"100.0";1;"39.0";"24.0";"3.0";"3.0";2020;15;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;43
90;"100.0";1;"36.0";"1.0";"5.0";"6.0";2020;16;0;0;1;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;56
35;"86.6666666666667";1;"7.0";"2.0";"3.0";"3.0";2020;15;0;0;1;1;0;"0.0";1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;2
45;"90.0";1;"5.0";"24.0";"5.0";"3.0";2020;15;0;0;1;0;1;"0.0";0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0
80;"90.0";1;"36.0";"24.0";"5.0";"4.0";2020;15;0;0;1;0;1;"0.0";0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;22
85;"70.0";1;"6.0";"7.0";"6.0";"4.0";2020;15;0;0;1;1;0;"0.0";0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;62
65;"86.6666666666667";1;"35.0";"0.0";"5.0";"3.0";2020;15;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;26
95;"80.0";1;"36.0";"1.0";"5.0";"5.0";2020;15;0;0;1;1;0;"0.0";1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;7
30;"86.66";1;"5.0";"2.0";"2.0";"5.0";2020;15;0;0;1;0;1;"0.0";1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;35
40;"90.0";1;"9.0";"5.0";"5.0";"5.0";2020;15;0;0;1;1;0;"0.0";0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;42
95;"100.0";1;"36.0";"24.0";"5.0";"5.0";2020;16;0;0;1;1;0;"0.0";0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;50
30;"93.3333333333333";0;"5.0";"1.0";"5.0";"4.0";2020;15;0;0;1;0;1;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;55
45;"76.66";1;"8.0";"3.0";"5.0";"4.0";2020;16;0;0;1;1;0;"0.0";0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;49
