"Q1 - Nota";"Q2 - Nota";"Codigo Situacao final bimestre";"Q1 - Tempo envio";"Q2 - Tempo envio";"S1 - Tempo ultimo acesso";"S2 - Tempo ultimo acesso";"Ano de Ingresso";"('Nota', 'Biologia I')";"('Nota', 'Educacao Fisica I')";"('Nota', 'Filosofia I')";"('Nota', 'Fisica I')";"('Nota', 'Geografia I')";"('Nota', 'Historia I')";"('Nota', 'Lingua Portuguesa e Literatura Brasileira I')";"('Nota', 'Matematica I')";"('Nota', 'Quimica I')";"('Nota', 'Sociologia I')";"Idade";"curso_integrado_MSI";"curso_integrado_MUSICA";"curso_integrado_TED";"sexo_F";"sexo_M";"cor_raca_Branca";"cor_raca_Indigena";"cor_raca_Nao declarada";"cor_raca_Parda";"cor_raca_Preta";"tipo_escola_origem_Privada";"tipo_escola_origem_Publica";"zona_residencial_Rural";"zona_residencial_Urbana";"cota_SISTEC_Cor/Raca";"cota_SISTEC_Escola Publica";"cota_SISTEC_Nao se aplica";"cota_SISTEC_Necessidades Especiais";"cota_MEC_Nao se aplica";"cota_MEC_publica";"cota_MEC_publica_PCD";"cota_MEC_publica_PPI";"cota_MEC_publica_renda_menor_1,5SM";"cota_MEC_publica_renda_menor_1,5SM_PCD";"cota_MEC_publica_renda_menor_1,5SM_PPI";"cota_MEC_publica_renda_menor_1,5SM_PPI_PCD";"Escola de Origem"
78;90;1;"2.0";"2.0";"3.0";"3.0";2018;"79.0";"86.0";"81.0";"75.0";"80.0";"55.0";"59.0";"71.0";"78.0";"76.0";18;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;3
0;0;0;"99.0";"99.0";"99.0";"99.0";2019;"39.0";"79.0";"74.0";"51.0";"69.0";"65.0";"74.0";"20.0";"50.0";"74.0";17;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;35
52;80;1;"3.0";"6.0";"4.0";"5.0";2018;"61.0";"86.0";"58.5";"41.0";"71.5";"52.0";"54.5";"36.0";"60.0";"71.0";18;0;1;0;1;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;29
22;70;0;"31.0";"24.0";"5.0";"99.0";2019;"82.0";"92.0";"85.0";"80.0";"90.0";"76.0";"77.0";"98.0";"82.0";"82.0";17;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;151
30;70;0;"5.0";"6.0";"2.0";"5.0";2018;"50.0";"81.0";"59.0";"44.0";"50.0";"51.0";"51.0";"58.5";"70.0";"71.0";18;0;1;0;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;143
50;80;1;"5.0";"6.0";"0.0";"5.0";2019;"46.0";"93.0";"75.0";"72.0";"77.0";"60.0";"74.0";"85.0";"49.0";"76.0";17;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;132
100;100;1;"4.0";"3.0";"4.0";"5.0";2019;"88.0";"98.0";"94.0";"92.0";"81.0";"74.0";"87.0";"88.0";"90.0";"78.0";17;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;20
50;90;1;"2.0";"1.0";"3.0";"3.0";2019;"73.0";"88.0";"87.0";"76.0";"85.0";"71.0";"71.0";"71.0";"70.0";"78.0";16;1;0;0;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;133
74;90;1;"2.0";"6.0";"4.0";"4.0";2019;"72.0";"91.0";"79.0";"77.0";"78.0";"52.0";"81.0";"53.0";"67.0";"78.0";17;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;103
100;90;1;"5.0";"6.0";"0.0";"5.0";2019;"80.0";"89.0";"81.0";"85.0";"90.0";"79.0";"80.0";"80.0";"63.0";"81.0";16;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;8
